Date,Open,High,Low,Close,SharesTraded,
20060224 00:00,457000,457500,452600,454500,9196000,
20060227 00:00,455500,466600,454500,457400,8849800,
20060228 00:00,455700,458100,452200,453400,10598100,
20060301 00:00,453600,455100,450300,452000,10714900,
20060302 00:00,450100,454800,449300,450700,11750900,
20060303 00:00,448700,455000,448600,453200,9194600,
20060306 00:00,454900,455400,449700,451500,9634000,
20060307 00:00,451900,453600,450500,452600,8194000,
20060308 00:00,452000,456300,451600,452600,10762200,
20060309 00:00,452000,453900,451100,452400,6873400,
20060310 00:00,454400,454800,452100,453100,9019500,
20060313 00:00,453500,454600,451900,452600,8663000,
20060314 00:00,451900,455800,451600,455200,10990200,
20060315 00:00,455000,455700,452200,453200,10846600,
20060316 00:00,455600,464400,453200,463700,18153800,
20060317 00:00,466000,485000,462900,466800,11702300,
20060320 00:00,470300,480700,469900,477500,18652900,
20060321 00:00,482000,484500,477200,481100,13296400,
20060322 00:00,472000,482200,472000,480500,8663900,
20060323 00:00,481900,488700,480500,485400,14412100,
20060324 00:00,487000,487200,480200,481900,9271800,
20060327 00:00,481900,483000,479000,479500,6693400,
20060328 00:00,479500,483200,476600,477500,9058300,
20060329 00:00,478000,481800,475000,480200,8159200,
20060330 00:00,480500,481800,473100,476500,9087300,
20060331 00:00,473800,479400,472000,472300,8598100,
20060403 00:00,472700,473100,465300,468000,12713800,
20060404 00:00,466900,467700,463500,464900,8478400,
20060405 00:00,465800,469700,465000,468500,7249900,
20060406 00:00,468800,470900,463500,465500,8420200,
20060407 00:00,465000,467700,458100,460000,12155500,
20060410 00:00,459800,460000,455000,457500,9158100,
20060411 00:00,456000,457600,452200,455000,9368400,
20060412 00:00,457800,459600,456500,459100,9032600,
20060413 00:00,459600,460100,456200,457300,6823500,
20060417 00:00,458000,462800,456300,458400,8482700,
20060418 00:00,461400,465200,458200,463900,9707300,
20060419 00:00,463200,467000,462500,464700,9437900,
20060420 00:00,463700,467100,462600,464000,8635800,
20060421 00:00,466000,466000,456800,458300,9589400,
20060424 00:00,456200,458200,454000,455600,8657400,
20060425 00:00,456600,459300,455000,456400,8597800,
20060426 00:00,457500,460300,456700,459800,10092700,
20060427 00:00,457800,460800,456200,456600,12390900,
20060428 00:00,455800,456700,449900,450700,13373100,
20060501 00:00,459200,465800,450300,459400,17681700,
20060502 00:00,461200,462600,459000,461600,9039000,
20060503 00:00,463200,468400,462900,466900,10981300,
20060504 00:00,469200,469800,461200,463800,9950500,
20060505 00:00,466000,473400,465200,472500,8570400,
20060508 00:00,472500,479000,471000,475700,9439000,
20060509 00:00,476900,481700,475800,478700,11039100,
20060510 00:00,477100,480900,475800,477700,8855700,
20060511 00:00,479000,479000,469500,472500,10671900,
20060512 00:00,472600,474500,465300,465500,10731000,
20060515 00:00,462500,475600,460800,474200,15980300,
20060516 00:00,478700,483100,476900,480500,17977600,
20060517 00:00,476500,476600,468300,468600,12131500,
20060518 00:00,470200,473900,466500,471600,10130000,
20060519 00:00,474500,474800,468900,472800,12449100,
20060522 00:00,472900,477700,471000,473100,9687700,
20060523 00:00,476000,479900,473500,475400,10759600,
20060524 00:00,475300,481400,473700,480300,15676100,
20060525 00:00,488200,498300,486500,494700,25096600,
20060526 00:00,496000,500000,494500,496500,18848300,
20060530 00:00,486200,487100,482300,483200,18197000,
20060531 00:00,484800,487100,481100,484500,10680200,
20060601 00:00,482500,485700,479200,483700,12758300,
20060602 00:00,481700,483500,473200,478200,13301900,
20060605 00:00,477700,480400,471000,472200,11761200,
20060606 00:00,473400,474800,465500,470100,11962300,
20060607 00:00,470700,477300,469200,470400,8540400,
20060608 00:00,470900,475400,468400,472900,15278800,
20060609 00:00,471500,474900,470000,471000,7250000,
